DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
Z0000,Encntr for general adult medical exam w/o abnormal findings,Z00.00,Z000
Z87891,Personal history of nicotine dependence,Z87.891,Z8789
L570,Actinic keratosis,L57.0,L57
Z992,Dependence on renal dialysis,Z99.2,Z99
E669,"Obesity, unspecified",E66.9,E66
C50012,"Malignant neoplasm of nipple and areola, left female breast",C50.012,C5001
I700,Atherosclerosis of aorta,I70.0,I70
G3289,Oth degeneratv disord of nervous sys in dis classd elswhr,G32.89,G328
Z954,Presence of other heart-valve replacement,Z95.4,Z95
Z85828,Personal history of other malignant neoplasm of skin,Z85.828,Z8582
Z7689,Persons encountering health services in oth circumstances,Z76.89,Z768
Z636,Dependent relative needing care at home,Z63.6,Z63
J42,Unspecified chronic bronchitis,J42,
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
J705,Respiratory conditions due to smoke inhalation,J70.5,J70
Z8669,Personal history of dis of the nervous sys and sense organs,Z86.69,Z866
Z9981,Dependence on supplemental oxygen,Z99.81,Z998
F17210,"Nicotine dependence, cigarettes, uncomplicated",F17.210,F1721
R4689,Other symptoms and signs involving appearance and behavior,R46.89,R468
Z1231,Encntr screen mammogram for malignant neoplasm of breast,Z12.31,Z123
Z8249,Family hx of ischem heart dis and oth dis of the circ sys,Z82.49,Z824
Z8711,Personal history of peptic ulcer disease,Z87.11,Z871
F17200,"Nicotine dependence, unspecified, uncomplicated",F17.200,F1720
R4181,Age-related cognitive decline,R41.81,R418
Z136,Encounter for screening for cardiovascular disorders,Z13.6,Z13
F17290,"Nicotine dependence, other tobacco product, uncomplicated",F17.290,F1729
Z960,Presence of urogenital implants,Z96.0,Z96
Z599,"Problem related to housing and economic circumstances, unsp",Z59.9,Z59
R627,Adult failure to thrive,R62.7,R62
Z87448,Personal history of other diseases of urinary system,Z87.448,Z8744
M810,Age-related osteoporosis w/o current pathological fracture,M81.0,M81
Z634,Disappearance and death of family member,Z63.4,Z63
Z789,Other specified health status,Z78.9,Z78
Z9181,History of falling,Z91.81,Z918
Z86011,Personal history of benign neoplasm of the brain,Z86.011,Z8601
R6882,Decreased libido,R68.82,R688
Z950,Presence of cardiac pacemaker,Z95.0,Z95
I639,"Cerebral infarction, unspecified",I63.9,I63
D638,Anemia in other chronic diseases classified elsewhere,D63.8,D63
K7581,Nonalcoholic steatohepatitis (NASH),K75.81,K758
K5904,Chronic idiopathic constipation,K59.04,K590
K5900,"Constipation, unspecified",K59.00,K590
Z9229,Personal history of other drug therapy,Z92.29,Z922
Z1211,Encounter for screening for malignant neoplasm of colon,Z12.11,Z121
Z86711,Personal history of pulmonary embolism,Z86.711,Z8671
R6251,Failure to thrive (child),R62.51,R625
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
I519,"Heart disease, unspecified",I51.9,I51
I4892,Unspecified atrial flutter,I48.92,I489
I420,Dilated cardiomyopathy,I42.0,I42
I340,Nonrheumatic mitral (valve) insufficiency,I34.0,I34
I517,Cardiomegaly,I51.7,I51
I421,Obstructive hypertrophic cardiomyopathy,I42.1,I42
I350,Nonrheumatic aortic (valve) stenosis,I35.0,I35
I509,"Heart failure, unspecified",I50.9,I50
I259,"Chronic ischemic heart disease, unspecified",I25.9,I25
M40209,"Unspecified kyphosis, site unspecified",M40.209,M4020
I499,"Cardiac arrhythmia, unspecified",I49.9,I49
I359,"Nonrheumatic aortic valve disorder, unspecified",I35.9,I35
I5033,Acute on chronic diastolic (congestive) heart failure,I50.33,I503
C50919,Malignant neoplasm of unsp site of unspecified female breast,C50.919,C5091
R9720,Elevated prostate specific antigen [PSA],R97.20,R972
C50111,Malignant neoplasm of central portion of right female breast,C50.111,C5011
I479,"Paroxysmal tachycardia, unspecified",I47.9,I47
Z09,Encntr for f/u exam aft trtmt for cond oth than malig neoplm,Z09,
I4820,"Chronic atrial fibrillation, unspecified",I48.20,I482
Z85038,Personal history of malignant neoplasm of large intestine,Z85.038,Z8503
I7090,Unspecified atherosclerosis,I70.90,I709
Z79890,Hormone replacement therapy,Z79.890,Z7989
Z859,"Personal history of malignant neoplasm, unspecified",Z85.9,Z85
R54,Age-related physical debility,R54,
Z4802,Encounter for removal of sutures,Z48.02,Z480
Z8639,"Personal history of endo, nutritional and metabolic disease",Z86.39,Z863
U071,COVID-19,U07.1,U07
J069,"Acute upper respiratory infection, unspecified",J06.9,J06
H6503,"Acute serous otitis media, bilateral",H65.03,H650
K5909,Other constipation,K59.09,K590
U071,COVID-19,U07.1,
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
J329,"Chronic sinusitis, unspecified",J32.9,J32
J9811,Atelectasis,J98.11,J981
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
J439,"Emphysema, unspecified",J43.9,J43
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
J339,"Nasal polyp, unspecified",J33.9,J33
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
I639,"Cerebral infarction, unspecified",I63.9,I63
J42,Unspecified chronic bronchitis,J42,
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
J40,"Bronchitis, not specified as acute or chronic",J40,
K2289,Other specified disease of esophagus,K22.89,K228
I519,"Heart disease, unspecified",I51.9,I51
G309,"Alzheimer's disease, unspecified",G30.9,G30
F0390,Unspecified dementia without behavioral disturbance,F03.90,F039
C61,Malignant neoplasm of prostate,C61,
F0150,Vascular dementia without behavioral disturbance,F01.50,F015
G301,Alzheimer's disease with late onset,G30.1,G30
G319,"Degenerative disease of nervous system, unspecified",G31.9,G31
G3101,Pick's disease,G31.01,G310
G311,"Senile degeneration of brain, not elsewhere classified",G31.1,G31
G3184,"Mild cognitive impairment, so stated",G31.84,G318
G3109,Other frontotemporal dementia,G31.09,G310
U071,COVID-19,U07.1,U07
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
F0392,"Unsp dementia, unspecified severity, with psychotic disturb",F03.92,F039
F02818,"Dem in oth dis classd elswhr, unsp sev, with oth beh distrb",F02.818,F0281
J9811,Atelectasis,J98.11,J981
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
I7140,"Abdominal aortic aneurysm, without rupture, unspecified",I71.40,I714
F5221,Male erectile disorder,F52.21,F522
J9811,Atelectasis,J98.11,J981
F01A0,"Vascular dementia, mild, without beh/psych/mood/anx",F01.A0,F01A
N182,"Chronic kidney disease, stage 2 (mild)",N18.2,N18
N184,"Chronic kidney disease, stage 4 (severe)",N18.4,N18
N189,"Chronic kidney disease, unspecified",N18.9,N18
N185,"Chronic kidney disease, stage 5",N18.5,N18
N186,End stage renal disease,N18.6,N18
N181,"Chronic kidney disease, stage 1",N18.1,N18
N1832,"Chronic kidney disease, stage 3b",N18.32,N183
J208,Acute bronchitis due to other specified organisms,J20.8,J20
N182,"Chronic kidney disease, stage 2 (mild)",N18.2,N18
N1831,"Chronic kidney disease, stage 3a",N18.31,N183
N181,"Chronic kidney disease, stage 1",N18.1,N18
N1832,"Chronic kidney disease, stage 3b",N18.32,N183
M519,"Unsp thoracic, thoracolum and lumbosacr intvrt disc disorder",M51.9,M51
F0284,"Dem in other dis classd elswhr, unsp severity, with anxiety",F02.84,F028
F0284,"Dem in other dis classd elswhr, unsp severity, with anxiety",F02.84,F028
K0500,"Acute gingivitis, plaque induced",K05.00,K050
N184,"Chronic kidney disease, stage 4 (severe)",N18.4,N18
